"iso_id","region","load_date","load_forecast","weather_date","temperature_celsius"
3,"ISO","2024-08-31 20:00:00+00","89403","2024-08-31 20:00:00+00","27.58996279451094"
3,"ISO","2024-08-31 21:00:00+00","90321","2024-08-31 21:00:00+00","27.653279046752687"
3,"ISO","2024-08-31 22:00:00+00","89984","2024-08-31 22:00:00+00","27.358251977852262"
3,"ISO","2024-08-31 23:00:00+00","88161","2024-08-31 23:00:00+00","26.668891512392406"
3,"ISO","2024-09-01 00:00:00+00","85744","2024-09-01 00:00:00+00","25.255671543842595"
3,"ISO","2024-09-01 01:00:00+00","83507","2024-09-01 01:00:00+00","23.764100256618917"
3,"ISO","2024-09-01 02:00:00+00","80128","2024-09-01 02:00:00+00","22.806693319544934"
3,"ISO","2024-09-01 03:00:00+00","75596","2024-09-01 03:00:00+00","22.081269107707215"
3,"ISO","2024-09-01 04:00:00+00","71282","2024-09-01 04:00:00+00","21.4931596507148"
3,"ISO","2024-09-01 05:00:00+00","68713","2024-09-01 05:00:00+00","20.703110583782063"
3,"ISO","2024-09-01 06:00:00+00","66264","2024-09-01 06:00:00+00","20.20240927285562"
3,"ISO","2024-09-01 07:00:00+00","65386","2024-09-01 07:00:00+00","19.76107124451039"
3,"ISO","2024-09-01 08:00:00+00","64158","2024-09-01 08:00:00+00","19.334379924733867"
3,"ISO","2024-09-01 09:00:00+00","63633","2024-09-01 09:00:00+00","18.911360339369878"
3,"ISO","2024-09-01 10:00:00+00","63957","2024-09-01 10:00:00+00","18.500777483992806"
3,"ISO","2024-09-01 11:00:00+00","64522","2024-09-01 11:00:00+00","18.113145935097236"
3,"ISO","2024-09-01 12:00:00+00","65947","2024-09-01 12:00:00+00","18.02904060610649"
3,"ISO","2024-09-01 13:00:00+00","67806","2024-09-01 13:00:00+00","19.660395866267606"
3,"ISO","2024-09-01 14:00:00+00","70535","2024-09-01 14:00:00+00","21.36993709065206"
3,"ISO","2024-09-01 15:00:00+00","72685","2024-09-01 15:00:00+00","22.69940278794786"
3,"ISO","2024-09-01 16:00:00+00","75327","2024-09-01 16:00:00+00","23.81172068718422"
3,"ISO","2024-09-01 17:00:00+00","77543","2024-09-01 17:00:00+00","24.706631881271505"
3,"ISO","2024-09-01 18:00:00+00","79341","2024-09-01 18:00:00+00","25.375670965428355"
3,"ISO","2024-09-01 19:00:00+00","80845","2024-09-01 19:00:00+00","25.80395258191686"
3,"ISO","2024-09-01 20:00:00+00","82153","2024-09-01 20:00:00+00","25.973843257310477"
3,"ISO","2024-09-01 21:00:00+00","82901","2024-09-01 21:00:00+00","25.86821185886197"
3,"ISO","2024-09-01 22:00:00+00","82709","2024-09-01 22:00:00+00","25.402374647765043"
3,"ISO","2024-09-01 23:00:00+00","81332","2024-09-01 23:00:00+00","24.524075654899605"
3,"ISO","2024-09-02 00:00:00+00","79541","2024-09-02 00:00:00+00","22.900031725667418"
3,"ISO","2024-09-02 01:00:00+00","77561","2024-09-02 01:00:00+00","21.32545194302844"
3,"ISO","2024-09-02 02:00:00+00","74272","2024-09-02 02:00:00+00","20.275557410919248"
3,"ISO","2024-09-02 03:00:00+00","70320","2024-09-02 03:00:00+00","19.418701271244288"
3,"ISO","2024-09-02 04:00:00+00","67807","2024-09-02 04:00:00+00","18.67846273175911"
3,"ISO","2024-09-02 05:00:00+00","65676","2024-09-02 05:00:00+00","18.241417357201442"
3,"ISO","2024-09-02 06:00:00+00","63382","2024-09-02 06:00:00+00","17.603365454450227"
3,"ISO","2024-09-02 07:00:00+00","60994","2024-09-02 07:00:00+00","17.045160650663718"
3,"ISO","2024-09-02 08:00:00+00","61196","2024-09-02 08:00:00+00","16.53552190438097"
3,"ISO","2024-09-02 09:00:00+00","61092","2024-09-02 09:00:00+00","16.050176976825014"
3,"ISO","2024-09-02 10:00:00+00","61805","2024-09-02 10:00:00+00","15.598533629826704"
3,"ISO","2024-09-02 11:00:00+00","61217","2024-09-02 11:00:00+00","15.191754227824276"
